pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
CoRoT-19 b,1,1,Transit,2011,3.89713,0.0518,14.46,352.78,0.047,,2000,6090,1.65,1.21,97.0335983,-0.1707293
CoRoT-2 b,2,1,Transit,2008,1.7429935,0.02798,16.432,1102.82,0.0143,,,5625,0.91,0.96,291.7770457,1.3836634
CoRoT-20 b,1,2,Transit,2011,9.24285,0.09,,1366.669,0.59,,,,,1.14,97.7204249,0.2268931
CoRoT-20 c,1,2,Radial Velocity,2018,1675,2.9,,5403.11,0.6,,,,,1.14,97.7204249,0.2268931
CoRoT-21 b,1,1,Transit,2012,2.72474,0.0417,14.572,718.2958,0,,,6200,1.95,1.29,101.0526207,-0.2991544
CoRoT-22 b,1,1,Transit,2014,9.75598,0.092,4.88,12.2,0.077,,885,5939,1.14,1.1,280.6671392,6.2191669
CoRoT-23 b,1,1,Transit,2011,3.6313,0.048,11.77,889.9,0.16,,1660,5900,1.61,1.14,279.7826586,4.3577516
CoRoT-24 b,1,2,Transit,2014,5.1134,0.056,3.7,5.7,0,,1070,4950,0.86,0.91,101.922543,-3.7192892
CoRoT-24 c,1,2,Transit,2014,11.759,0.098,5,28,0,,850,4950,0.86,0.91,101.922543,-3.7192892
CoRoT-25 b,1,1,Transit,2013,4.86069,0.0578,12.11,85.81,0,,1330,6040,1.19,1.09,280.6296561,6.5138223
CoRoT-26 b,1,1,Transit,2013,4.20474,0.0526,14.12,165.26,0,,1600,5590,1.79,1.09,279.7504991,6.9697828
CoRoT-27 b,1,1,Transit,2014,3.57532,0.0476,11.287,3302.11,0.065,,1500,5900,1.08,1.05,278.4958319,5.5383811
CoRoT-28 b,1,1,Transit,2015,5.20851,0.0603,10.705,153.82972,0.047,,,5150,1.78,1.01,278.6883216,5.5736911
CoRoT-29 b,1,1,Transit,2015,2.85057,0.0386,10.088,270.1555,0.082,,,5260,0.9,0.97,278.9020691,6.4795703
CoRoT-3 b,1,1,Transit,2008,4.2568,,11.32,6883.91,0,,,6740,1.56,1.37,292.0552827,0.1218359
CoRoT-30 b,1,1,Transit,2020,9.06005,0.0844,11.31,921.707,0.007,,,5650,0.91,0.98,277.6011767,6.8359338
CoRoT-31 b,1,1,Transit,2020,4.62941,0.0586,16.365,266.9772,0.02,,,5700,2.15,1.25,94.820735,-4.4222978
CoRoT-4 b,1,1,Transit,2008,9.20205,0.09,13.34,228.83,0,,1074,6190,1.17,1.16,102.1946233,-0.6727861
CoRoT-5 b,1,1,Transit,2009,4.0378962,0.04947,15.558,148.42,0.09,,1438,6100,1.19,1,101.2772396,0.8152163
CoRoT-6 b,1,1,Transit,2009,8.886593,0.0855,13.068,940.74,0.1,,1017,6090,1.02,1.05,281.0725563,6.6632062
CoRoT-7 b,1,2,Transit,2009,0.85359163,,1.681,4.07661,0,,,5275,0.83,0.82,100.9561682,-1.0630076
CoRoT-7 c,1,2,Radial Velocity,2009,3.698,0.046,,8.4,0,,,5256,0.86,0.9,100.9561682,-1.0630076
CoRoT-8 b,1,1,Transit,2010,6.21229,0.063,6.39,69.92,0,,,5080,0.77,0.88,291.5885696,1.4262972
CoRoT-9 b,2,1,Transit,2009,95.272656,0.4021,11.949,266.9772,0.133,,420,5625,0.96,0.96,280.7866461,6.2040783
CoRoTID 223977153 b,1,1,Transit,2017,6.71837,0.071,6.389,47.6745,,132.26,938,5970,0.79,1.08,100.1951714,9.2573953
DE CVn b,2,1,Eclipse Timing Variations,2018,4098.1,5.75,,3823.2733,0,,,,,0.51,201.7207198,45.5455449
DENIS-P J082303.1-491201 b,1,1,Astrometry,2013,246.36,0.36,,9057.77,0.345,,,,,0.07,125.7620668,-49.2003008
DH Tau b,1,1,Imaging,2004,,330,,3496,,,,,0.27,0.33,67.4231674,26.5493897
DMPP-1 b,1,4,Radial Velocity,2019,18.57,0.1462,,24.27,0.083,,877,6196,1.26,1.21,86.7761233,-10.6303217
